onset	duration	trial_type	response
1.0459	2.5262	start_pseudoword	other
4.072	2.0321	pseudoword	incorrect
6.6067	2.0234	pseudoword	incorrect
9.1326	2.0237	pseudoword	incorrect
11.6592	2.0226	pseudoword	hit
14.2071	2.0228	pseudoword	hit
16.2298	2.5236	start_word	other
19.2561	2.0231	word	hit
21.7821	2.023	word	hit
24.308	2.0231	word	hit
26.8335	2.0226	word	hit
29.3816	2.0228	word	hit
31.4044	2.5231	start_random_string	other
34.43	2.0226	random_string	hit
36.9789	2.0236	random_string	hit
39.505	2.0236	random_string	hit
42.0311	2.0238	random_string	hit
44.5577	2.0228	random_string	hit
46.5805	20.0228	Bfix	other
66.6033	2.5231	start_pseudoword	other
69.6293	2.0231	pseudoword	miss
72.1549	2.0226	pseudoword	hit
74.7032	2.0231	pseudoword	hit
77.229	2.0234	pseudoword	hit
79.755	2.0226	pseudoword	hit
81.7943	2.5231	start_word	other
84.8199	2.0234	word	hit
87.346	2.0231	word	hit
89.8718	2.0231	word	hit
92.3977	2.0226	word	hit
94.945	2.0226	word	hit
96.9843	2.5231	start_random_string	other
100.0043	2.0226	random_string	hit
102.5523	2.0226	random_string	hit
105.1	2.0234	random_string	hit
107.6261	2.0226	random_string	hit
110.1743	2.0227	random_string	hit
112.197	20.0229	Bfix	other
132.2198	2.5235	start_random_string	other
135.2461	2.0226	random_string	hit
137.7934	2.0231	random_string	hit
140.3193	2.0236	random_string	hit
142.8457	2.0226	random_string	hit
145.3937	2.0228	random_string	hit
147.4165	2.5231	start_pseudoword	other
150.4424	2.0231	pseudoword	miss
152.9682	2.023	pseudoword	hit
155.494	2.0231	pseudoword	hit
158.0199	2.0231	pseudoword	hit
160.5457	2.0228	pseudoword	hit
162.5684	2.5231	start_word	other
165.5943	2.023	word	hit
168.1201	2.0231	word	hit
170.6459	2.0231	word	hit
173.1719	2.0231	word	hit
175.6978	2.0227	word	hit
177.7205	20.0229	Bfix	other
197.7433	2.5231	start_pseudoword	other
200.7693	2.0231	pseudoword	hit
203.2951	2.0231	pseudoword	hit
205.8211	2.0231	pseudoword	hit
208.3469	2.0226	pseudoword	hit
210.8946	2.0228	pseudoword	hit
212.9174	2.5226	start_word	other
215.9652	2.0231	word	hit
218.491	2.0231	wor
