onset	duration	trial_type	response
0.0234	2.5239	start_pseudoword	other
3.05	2.0226	pseudoword	hit
5.6063	2.0235	pseudoword	hit
8.1326	2.0234	pseudoword	hit
10.6585	2.0231	pseudoword	hit
13.1844	2.0226	pseudoword	hit
15.2237	2.5238	start_word	other
18.25	2.0231	word	hit
20.7757	2.023	word	hit
23.3014	2.0231	word	hit
25.8272	2.0226	word	hit
28.3752	2.0228	word	hit
30.398	2.5231	start_random_string	other
33.4235	2.0226	random_string	hit
35.9723	2.0231	random_string	hit
38.4982	2.0238	random_string	hit
41.0247	2.0236	random_string	hit
43.551	2.0228	random_string	hit
45.5738	20.0228	Bfix	other
65.5966	2.5231	start_word	other
68.6222	2.0226	word	hit
71.1697	2.0231	word	hit
73.6956	2.0231	word	hit
76.2214	2.0231	word	hit
78.7474	2.0228	word	hit
80.7701	2.524	start_random_string	other
83.7968	2.0233	random_string	hit
86.323	2.023	random_string	hit
88.8487	2.0236	random_string	hit
91.375	2.0232	random_string	hit
93.9011	2.0228	random_string	hit
95.9239	2.5231	start_pseudoword	other
98.9496	2.0231	pseudoword	hit
101.4754	2.0231	pseudoword	hit
104.0012	2.0226	pseudoword	hit
106.5489	2.0231	pseudoword	hit
109.0748	2.0227	pseudoword	hit
111.0975	20.0227	Bfix	other
131.1368	2.5231	start_random_string	other
134.1625	2.0226	random_string	hit
136.7102	2.0234	random_string	hit
139.2363	2.023	random_string	hit
141.7622	2.0226	random_string	hit
144.3106	2.0228	random_string	hit
146.3335	2.5234	start_word	other
149.3597	2.023	word	incorrect
151.8855	2.0231	word	hit
154.4113	2.0231	word	hit
156.9371	2.0231	word	hit
159.4628	2.0228	word	hit
161.4856	2.5231	start_pseudoword	other
164.5115	2.0231	pseudoword	hit
167.0373	2.0231	pseudoword	hit
169.5633	2.0226	pseudoword	hit
172.1111	2.023	pseudoword	hit
174.6368	2.0227	pseudoword	hit
176.6595	20.0228	Bfix	other
196.6823	2.5232	start_word	other
199.7082	2.0231	word	hit
202.2339	2.0226	word	hit
204.7815	2.023	word	hit
207.3072	2.023	word	hit
209.833	2.0228	word	hit
211.8557	2.5231	start_pseudoword	other
214.8815	2.0231	pseudoword	hit
217.4069	2.0226	pseudoword	hit
219.955	2.0232	pseudoword	
