onset	duration	trial_type	gain_amount	loss_amount	num_loss_cards
0.0	1.014	fmri_buffer	0.0	0.0	0.0
1.014	1.517	test_start_block	0.0	0.0	0.0
2.531	1.975	card_flip	12.0	-70.0	1.0
4.506	2.485	inter_trials	0.0	0.0	0.0
6.9910000000000005	1.03	card_flip	14.0	-75.0	1.0
8.021	3.8539999999999996	card_flip	14.0	-75.0	1.0
11.875	3.214	card_flip	14.0	-75.0	1.0
15.089	1.899	card_flip	14.0	-75.0	1.0
16.988	1.122	card_flip	14.0	-75.0	1.0
18.11	2.48	inter_trials	0.0	0.0	0.0
20.59	5.099	card_flip	15.0	-70.0	1.0
25.689	2.532	inter_trials	0.0	0.0	0.0
28.221	0.9520000000000001	card_flip	17.0	-75.0	1.0
29.173000000000002	1.9180000000000001	card_flip	17.0	-75.0	1.0
31.090999999999998	2.471	inter_trials	0.0	0.0	0.0
33.562	0.765	card_flip	24.0	-60.0	2.0
34.327	1.7480000000000002	card_flip	24.0	-60.0	2.0
36.075	1.386	card_flip	24.0	-60.0	2.0
37.461	2.68	inter_trials	0.0	0.0	0.0
40.141	0.506	card_flip	29.0	-75.0	2.0
40.647	1.521	card_flip	29.0	-75.0	2.0
42.168	0.674	card_flip	29.0	-75.0	2.0
42.842	2.398	inter_trials	0.0	0.0	0.0
45.24	0.563	card_flip	17.0	-65.0	2.0
45.803000000000004	1.507	card_flip	17.0	-65.0	2.0
47.31	2.541	inter_trials	0.0	0.0	0.0
49.851000000000006	0.55	card_flip	14.0	-95.0	1.0
50.401	2.2840000000000003	card_flip	14.0	-95.0	1.0
52.685	1.564	card_flip	14.0	-95.0	1.0
54.248999999999995	1.18	card_flip	14.0	-95.0	1.0
55.428999999999995	0.7879999999999999	card_flip	14.0	-95.0	1.0
56.217	0.8029999999999999	card_flip	14.0	-95.0	1.0
57.02	2.6	inter_trials	0.0	0.0	0.0
59.62	4.308	card_flip	15.0	-65.0	2.0
63.928000000000004	1.207	card_flip	15.0	-65.0	2.0
65.135	0.8390000000000001	card_flip	15.0	-65.0	2.0
65.97399999999999	0.872	card_flip	15.0	-65.0	2.0
66.846	0.9079999999999999	card_flip	15.0	-65.0	2.0
67.75399999999999	0.996	card_flip	15.0	-65.0	2.0
68.75	1.073	card_flip	15.0	-65.0	2.0
69.82300000000001	2.399	inter_trials	0.0	0.0	0.0
72.222	2.6689999999999996	card_flip	17.0	-65.0	2.0
74.891	1.102	card_flip	17.0	-65.0	2.0
75.993	0.38	card_flip	17.0	-65.0	2.0
76.373	0.935	card_flip	17.0	-65.0	2.0
77.308	1.05	card_flip	17.0	-65.0	
